W2@1.0,MFPT_gt_r0.5,MFPT_lr_r0.5,MFPT_err_r0.5,exit_frac_r0.5,MFPT_gt_r1.0,MFPT_lr_r1.0,MFPT_err_r1.0,exit_frac_r1.0,MFPT_gt_r2.0,MFPT_lr_r2.0,MFPT_err_r2.0,exit_frac_r2.0,MFPT_gt_r3.0,MFPT_lr_r3.0,MFPT_err_r3.0,exit_frac_r3.0,surface,seed,condition,recon_per_dim
2.1233488782698196,0.07137998938560486,0.11878000199794769,0.6640518304966567,1.0,0.22657999396324158,0.3713226616382599,0.6388148624388266,0.998,0.5867950916290283,0.9070206880569458,0.5457196234190111,0.772,0.7786504626274109,1.1697195768356323,0.5022396222415788,0.214,paraboloid,42,baseline,0.00011581671771718495
1.9245384725276822,0.07137998938560486,0.07758000493049622,0.08685929485640564,1.0,0.22657999396324158,0.2639400064945221,0.16488663397767364,1.0,0.5867950916290283,0.8026055693626404,0.3677782599279944,0.852,0.7786504626274109,1.037248969078064,0.3321111575251116,0.458,paraboloid,42,T,6.235848685995264e-05
2.539901877041656,0.07137998938560486,,,0.0,0.22657999396324158,,,0.0,0.5867950916290283,,,0.0,0.7786504626274109,,,0.0,paraboloid,42,F,0.005876964004478644
2.5384570437668943,0.07137998938560486,,,0.0,0.22657999396324158,,,0.0,0.5867950916290283,,,0.0,0.7786504626274109,,,0.0,paraboloid,42,C,0.005866944493345953
1.341970972575272,0.07137998938560486,0.07545999437570572,0.057158946438897504,1.0,0.22657999396324158,0.23837999999523163,0.052078763996720664,1.0,0.5867950916290283,0.6228571534156799,0.06145597040789502,0.966,0.7786504626274109,0.9133986234664917,0.17305346533077018,0.818,paraboloid,42,T+F,0.0010383907538741382
1.9406038277800273,0.07825999706983566,0.0673999935388565,0.13876825884989727,1.0,0.24385999143123627,0.22697998583316803,0.06922006967603814,1.0,0.5903245210647583,0.682615339756012,0.15633912432570188,0.91,0.7765701413154602,0.9464516043663025,0.21875868516277736,0.372,paraboloid,1042,baseline,0.00015533176153453428
1.4897810856826654,0.07825999706983566,0.07744000852108002,0.010477748268044595,1.0,0.24385999143123627,0.2778800129890442,0.1395063673960675,1.0,0.5903245210647583,0.7156968712806702,0.21237869297683906,0.818,0.7765701413154602,0.9745957255363464,0.2550002552061087,0.47,paraboloid,1042,T,0.00011912415462050271
2.4442547996726014,0.07825999706983566,1.6399999856948853,19.955788999473434,0.026,0.24385999143123627,,,0.002,0.5903245210647583,,,0.0,0.7765701413154602,,,0.0,paraboloid,1042,F,0.0055542140457760635
2.4407789742605823,0.07825999706983566,,,0.0,0.24385999143123627,,,0.0,0.5903245210647583,,,0.0,0.7765701413154602,,,0.0,paraboloid,1042,C,0.005585427901045007
1.2131422725397538,0.07825999706983566,0.07534000277519226,0.03731145417802319,1.0,0.24385999143123627,0.23441998660564423,0.03871075681659711,1.0,0.5903245210647583,0.607310950756073,0.028774731669076802,0.952,0.7765701413154602,0.812755823135376,0.04659679775817744,0.762,paraboloid,1042,T+F,0.00046314161956606813
1.9468603340668522,0.07068000733852386,0.12574000656604767,0.7790038697055082,1.0,0.21702001988887787,0.48577460646629333,1.2383861484992378,0.994,0.57255619764328,0.8691365122795105,0.5179933705320033,0.718,0.7786830067634583,1.1527026891708374,0.4803234167931389,0.37,paraboloid,2042,baseline,0.00011104387022666077
1.8748801719553485,0.07068000733852386,0.1376200020313263,0.9470852821532892,1.0,0.21702001988887787,0.5301434397697449,1.4428319564305523,0.976,0.57255619764328,0.959651529788971,0.6760826862743404,0.574,0.7786830067634583,1.068089246749878,0.37166117338211424,0.314,paraboloid,2042,T,0.00017377561820087147
